time,joint_positions
0.001,"array('d', [-1.9499502165378602, 1.2999675211219544, -2.0000366563725818, 2.2999563713421116, 1.9999302591263062, 1.1499699329226776])"
0.002,"array('d', [-1.9498520576285263, 1.2999153353243094, -2.000115521544175, 2.2998681014237143, 1.9997906648921444, 1.14994595978801])"
0.003,"array('d', [-1.949707289548441, 1.299859238035711, -2.0002434476708335, 2.2997339078032595, 1.9995810427803555, 1.1499310666884384])"
0.004,"array('d', [-1.9495234921795395, 1.299814567034337, -2.000427423902564, 2.2995525129686176, 1.999301661932372, 1.1499285449104109])"
0.005,"array('d', [-1.9493090267658968, 1.299790850154974, -2.0006469655320958, 2.299397175466261, 1.9989518186804631, 1.149934258151317])"
0.006,"array('d', [-1.9490706394935493, 1.2997887427037675, -2.0008969213841343, 2.29927442682657, 1.9985318931950091, 1.1499819535006572])"
0.007,"array('d', [-1.9488089963453727, 1.2998084667029715, -2.0011727110100903, 2.299190616179932, 1.9980418427944708, 1.1500687269109473])"
0.008,"array('d', [-1.9485250226284008, 1.2998494941418393, -2.001473453809033, 2.2991416548436674, 1.9974818444225677, 1.1501983216449831])"
0.009000000000000001,"array('d', [-1.9482188920940797, 1.2999115361313192, -2.0017970069160262, 2.299127312765183, 1.9968519490752457, 1.1503679464747767])"
0.01,"array('d', [-1.9478910960518363, 1.299994141194792, -2.0021421544252767, 2.299144789762519, 1.996152280386597, 1.1505779298857501])"
0.011,"array('d', [-1.9475419335325597, 1.300096954192865, -2.0025072512791398, 2.2991926724388896, 1.9953829229321842, 1.1508267040828704])"
0.012,"array('d', [-1.9471718148107366, 1.300219576926012, -2.0028909649195072, 2.299268772956038, 1.9945439850257973, 1.15111372322143])"
0.013000000000000001,"array('d', [-1.946781091267202, 1.3003616485888023, -2.0032918537351274, 2.299371362529405, 1.993635563168468, 1.151437844845643])"
0.014,"array('d', [-1.9463701490520295, 1.3005228013336776, -2.0037086030863467, 2.299498486512871, 1.9926577617632872, 1.1517982485122107])"
0.015,"array('d', [-1.9459393542153798, 1.3007026857546211, -2.004139892806187, 2.2996483532498333, 1.9916106818482455, 1.1521939278003683])"
0.016,"array('d', [-1.9454890811886891, 1.3009009570102814, -2.0045844710262357, 2.299819121057062, 1.990494427182011, 1.152623980064383])"
